voting_preference,troll_tweets_pro_democratic,troll_tweets_anti_democratic,troll_tweets_pro_republican,troll_tweets_anti_republican,Total Tweets,vote2012,vote2016,Vote,main_information_sorce
R,17,75,80,22,194,R,R,0,Online
R,21,66,96,24,207,R,R,0,None
R,25,72,98,20,215,R,R,0,None
R,21,72,91,17,201,R,D,1,Print
R,14,78,91,14,197,R,R,0,Social Media
R,23,71,89,17,200,R,R,0,Print
R,12,73,88,13,186,R,O,1,None
R,18,76,83,20,197,R,R,0,Online
R,18,68,89,15,190,R,R,0,Online
R,10,62,85,22,179,R,R,0,None
R,25,71,91,17,204,R,R,0,Online
R,17,77,94,17,205,R,R,0,Social Media
R,18,63,89,24,194,R,R,0,None
R,27,75,97,23,222,R,R,0,Online
R,23,70,98,31,222,D,D,0,Social Media
R,19,70,96,20,205,R,R,0,Social Media
R,23,68,83,11,185,R,R,0,Online
R,22,75,82,15,194,R,R,0,Online
R,28,77,90,23,218,R,R,0,Online
R,21,78,91,19,209,R,O,1,Social Media
R,23,65,93,25,206,R,R,0,Online
R,22,74,83,25,204,R,R,0,None
R,18,68,89,31,206,R,R,0,Online
R,20,65,92,21,198,R,R,0,Online
R,28,72,82,20,202,R,O,1,Social Media
R,16,70,91,17,194,R,R,0,None
R,21,74,100,21,216,R,R,0,Online
R,27,79,82,22,210,D,R,1,Social Media
R,19,75,97,28,219,R,R,0,Social Media
R,15,67,95,23,200,R,R,0,Social Media
R,16,71,95,13,195,R,R,0,Print
R,18,77,97,14,206,R,R,0,Online
R,16,76,90,12,194,O,R,1,None
R,19,62,91,25,197,R,R,0,Online
R,18,75,85,13,191,D,R,1,Online
R,19,68,93,17,197,R,R,0,Television
R,22,67,96,14,199,R,R,0,Social Media
R,23,64,91,26,204,R,R,0,Social Media
R,28,68,96,28,220,R,R,0,Television
R,20,73,96,24,213,D,R,1,Online
R,18,77,84,15,194,O,R,1,Online
R,27,71,92,19,209,O,D,1,Online
R,29,70,88,21,208,D,D,0,Online
R,20,69,89,21,199,D,R,1,Online
R,18,75,89,14,196,R,R,0,None
R,11,65,84,19,179,R,R,0,Social Media
R,27,71,95,26,219,R,R,0,Social Media
R,16,75,85,15,191,D,R,1,Online
R,14,75,92,24,205,R,D,1,Social Media
R,35,72,81,18,206,R,R,0,Social Media
R,21,64,88,21,194,R,R,0,Online
R,20,66,89,23,198,R,D,1,Print
R,6,66,87,21,180,R,R,0,Online
R,20,63,89,28,200,R,R,0,Television
R,25,70,95,13,203,R,D,1,Online
R,22,76,93,21,212,R,R,0,None
R,25,58,86,24,193,R,R,0,Social Media
R,30,74,89,20,213,R,R,0,Print
R,26,69,90,17,202,R,R,0,Social Media
R,17,66,88,30,201,R,R,0,Print
R,24,74,89,25,212,R,R,0,None
R,19,73,89,25,206,R,R,0,Social Media
R,17,70,101,14,202,R,O,1,Online
R,6,65,91,18,180,R,O,1,Social Media
R,16,66,93,10,185,O,D,1,Television
R,22,62,87,22,193,R,R,0,Online
R,31,79,91,11,212,R,R,0,Television
R,23,69,91,10,193,D,R,1,Social Media
R,23,66,92,23,204,R,R,0,Social Media
R,15,59,91,12,177,R,O,1,Social Media
R,21,68,100,18,207,O,R,1,None
R,10,67,80,22,179,R,R,0,None
R,22,63,93,20,198,R,R,0,Online
R,23,82,93,24,222,D,R,1,None
R,21,74,86,16,197,R,R,0,Online
R,24,62,90,18,194,R,R,0,None
R,22,76,85,13,196,R,R,0,Social Media
R,24,75,86,13,198,R,O,1,Social Media
R,29,73,79,20,201,R,R,0,None
R,26,72,96,18,212,R,R,0,Social Media
R,20,71,87,23,201,R,O,1,Television
R,14,73,93,15,195,R,R,0,Social Media
R,22,65,89,17,193,R,R,0,None
R,18,67,100,31,216,R,R,0,Online
R,27,65,91,22,205,R,D,1,Online
R,12,69,101,22,204,R,R,0,None
R,18,71,91,15,195,R,O,1,Print
R,22,73,97,30,222,O,R,1,Social Media
R,19,73,91,25,208,D,R,1,Online
R,17,77,92,27,213,R,D,1,None
R,18,73,89,24,204,R,R,0,None
R,23,76,91,19,209,R,O,1,Online
R,24,75,94,17,210,R,O,1,Television
R,23,67,92,16,198,R,R,0,Social Media
R,31,74,82,22,209,R,O,1,Print
R,26,72,96,17,211,R,R,0,Social Media
R,21,71,86,21,199,R,R,0,None
R,17,65,95,21,198,R,R,0,None
R,35,73,89,22,219,O,D,1,Social Media
R,23,70,90,19,202,R,R,0,Social Media
R,17,68,93,21,199,D,R,1,Online
R,21,75,86,16,198,O,O,0,None
R,18,75,90,15,198,D,D,0,Online
R,19,74,87,18,198,D,R,1,Social Media
R,15,57,93,15,180,R,R,0,Social Media
R,21,66,92,21,200,R,R,0,Social Media
R,22,75,83,28,208,R,R,0,Social Media
R,15,66,88,19,188,R,R,0,Social Media
R,4,72,87,22,185,R,R,0,None
R,19,71,87,16,193,R,R,0,Online
R,20,76,90,24,210,O,R,1,None
R,23,66,81,20,190,R,D,1,Television
R,20,70,100,8,198,R,R,0,Social Media
R,22,72,92,22,208,D,R,1,Online
R,15,76,80,23,194,R,R,0,Television
R,24,69,85,22,200,R,R,0,Online
R,24,71,92,20,207,O,R,1,Social Media
R,21,63,79,23,186,R,R,0,Social Media
R,27,73,88,20,208,R,R,0,Online
R,22,71,90,25,208,R,R,0,None
R,21,73,96,14,204,D,R,1,Online
R,21,68,98,24,211,R,R,0,Television
R,22,78,97,22,219,R,R,0,None
R,25,69,97,24,215,D,R,1,Online
R,22,71,88,19,200,R,R,0,Social Media
R,23,69,96,22,210,R,R,0,Social Media
R,14,74,90,23,201,R,O,1,Online
R,18,66,99,20,203,D,R,1,None
R,27,71,92,13,203,D,R,1,Social Media
R,14,73,93,23,203,R,R,0,None
R,21,64,92,17,194,R,R,0,Online
R,22,71,94,13,200,R,R,0,None
R,25,67,92,23,207,R,O,1,Social Media
R,18,77,88,27,210,R,R,0,Social Media
R,21,74,91,21,207,R,O,1,Online
R,11,61,105,24,201,R,D,1,Social Media
R,22,75,85,18,200,R,R,0,Online
R,17,71,93,19,200,R,R,0,Television
R,19,67,92,26,204,D,R,1,Online
R,14,68,95,18,195,O,O,0,Social Media
R,22,64,78,23,187,R,R,0,Social Media
R,23,72,84,17,196,R,O,1,Social Media
R,18,62,91,21,192,D,R,1,Online
R,29,69,85,32,215,R,R,0,Social Media
R,23,72,88,25,208,O,R,1,Online
R,25,70,93,30,218,R,R,0,None
R,30,74,90,28,222,D,R,1,None
R,17,70,86,23,196,R,R,0,Social Media
R,24,82,89,14,209,R,R,0,Television
R,25,66,99,23,213,R,R,0,Social Media
R,20,78,98,20,216,R,R,0,Social Media
R,22,62,88,15,187,R,R,0,Social Media
R,15,65,98,11,189,R,R,0,Online
R,22,65,93,12,192,R,R,0,Online
R,16,62,94,19,191,R,R,0,None
R,24,77,85,24,210,R,R,0,None
R,16,75,82,9,182,R,R,0,Social Media
R,22,77,97,26,222,R,R,0,Online
R,16,67,86,11,180,R,R,0,Online
R,19,70,87,18,194,R,R,0,Television
R,12,76,91,26,205,R,R,0,Social Media
R,21,75,82,24,202,R,R,0,Social Media
R,25,73,93,21,212,R,D,1,Online
R,21,71,97,20,209,R,R,0,Social Media
R,11,64,89,22,186,R,R,0,Social Media
R,17,72,81,18,188,R,O,1,Social Media
R,28,69,87,20,204,O,R,1,Online
R,29,67,87,20,203,O,R,1,Social Media
R,14,78,95,28,215,R,R,0,Online
R,18,66,95,26,205,D,R,1,Television
R,22,71,91,25,209,O,D,1,Social Media
R,22,73,88,22,205,R,R,0,None
R,17,75,89,23,204,R,R,0,Television
R,15,72,93,24,204,R,R,0,Social Media
R,19,80,94,22,215,D,R,1,Online
R,25,72,99,18,214,R,R,0,Print
R,20,68,84,25,197,R,R,0,Print
R,17,71,92,23,203,R,R,0,Social Media
R,17,73,91,18,199,D,R,1,Online
R,28,59,81,18,186,R,R,0,Print
R,18,70,89,15,192,O,R,1,None
R,24,70,87,12,193,O,R,1,Online
R,27,69,84,18,198,R,O,1,Social Media
R,22,70,91,24,207,R,R,0,Online
R,18,60,78,27,183,R,R,0,None
R,20,72,95,23,210,O,R,1,Social Media
R,18,70,97,24,209,R,R,0,Social Media
R,26,68,96,16,206,R,O,1,Social Media
R,19,56,95,13,183,R,R,0,Online
R,28,68,91,18,205,R,R,0,None
R,17,71,91,21,200,R,O,1,Online
R,17,70,89,18,194,R,R,0,Online
R,21,67,86,25,199,O,D,1,Social Media
R,20,72,91,22,205,O,R,1,Online
R,17,65,94,17,193,R,R,0,None
R,12,73,83,27,195,R,D,1,Online
R,20,74,89,17,200,R,R,0,Social Media
R,16,75,88,14,193,R,R,0,None
R,25,74,92,21,212,O,R,1,None
R,15,68,86,22,191,R,R,0,Print
R,26,70,95,12,203,R,R,0,Social Media
R,17,76,87,20,200,R,R,0,Online
R,21,73,96,11,201,R,R,0,Social Media
R,24,72,87,21,204,R,R,0,Online
R,17,76,96,19,208,D,O,1,None
R,23,67,88,17,195,R,R,0,Online
R,20,70,93,15,198,R,R,0,Online
R,14,77,91,19,201,R,R,0,Television
R,19,69,90,15,193,R,D,1,Print
R,28,71,97,28,224,R,R,0,Social Media
R,19,69,91,23,202,R,D,1,Social Media
R,16,76,92,29,213,R,R,0,Social Media
R,20,71,89,22,202,R,R,0,None
R,22,70,88,24,204,R,R,0,Social Media
R,25,67,101,34,227,R,O,1,None
R,26,68,89,12,195,R,R,0,Online
R,21,62,91,10,184,D,R,1,Social Media
R,26,72,92,15,205,R,R,0,Print
R,16,74,91,25,206,R,R,0,None
R,8,63,97,13,181,R,D,1,Online
R,18,72,84,28,202,O,R,1,None
R,17,72,88,27,204,O,R,1,Online
R,8,71,84,32,195,R,D,1,Online
R,23,70,87,10,190,R,R,0,Social Media
R,16,78,92,15,201,R,R,0,None
R,19,72,94,24,209,R,R,0,Online
R,12,77,104,19,212,R,R,0,Social Media
R,23,72,93,24,212,O,R,1,None
R,29,72,89,15,205,R,D,1,Social Media
R,16,67,85,22,190,D,D,0,Social Media
R,19,83,92,21,215,O,R,1,Social Media
R,30,70,95,21,216,R,R,0,Social Media
R,25,68,88,26,207,R,R,0,Print
R,30,72,91,17,210,R,R,0,Online
R,20,72,91,22,205,R,R,0,Online
R,19,74,88,14,195,R,R,0,Print
R,17,65,94,19,195,R,R,0,None
R,27,69,83,12,191,R,D,1,Social Media
R,14,78,100,17,209,R,R,0,None
R,22,68,90,20,200,R,R,0,None
R,20,68,92,25,205,R,O,1,Television
R,31,73,91,18,213,R,R,0,Online
R,17,67,83,20,187,R,D,1,None
R,12,76,93,25,206,R,R,0,Social Media
R,21,72,89,12,194,D,R,1,Social Media
R,20,70,85,20,195,R,R,0,Social Media
R,16,62,92,20,190,R,O,1,Social Media
R,21,68,80,26,195,R,R,0,Social Media
R,19,80,98,20,217,R,O,1,Online
R,17,69,85,16,187,R,R,0,None
R,23,73,89,11,196,R,R,0,Online
R,18,65,99,17,199,R,R,0,Print
R,11,62,83,26,182,R,R,0,Social Media
R,7,74,98,30,209,R,R,0,Social Media
R,17,77,94,27,215,O,R,1,Online
R,27,62,94,16,199,R,R,0,Social Media
R,24,74,79,20,197,R,O,1,Social Media
R,26,72,89,25,212,R,R,0,Print
R,25,68,83,18,194,R,R,0,Television
R,22,79,86,15,202,O,R,1,Print
R,12,65,92,20,189,R,R,0,None
R,21,69,86,15,191,R,R,0,Social Media
D,112,53,42,17,224,D,D,0,Print
D,12,18,21,32,83,R,D,1,None
D,64,62,-12,79,193,D,D,0,None
D,102,38,37,66,243,D,D,0,Online
D,91,65,8,56,220,D,D,0,Social Media
D,96,40,-1,47,182,D,D,0,Print
D,89,25,44,41,199,D,D,0,Online
D,91,13,26,48,178,D,O,1,None
D,80,13,30,55,178,D,D,0,Social Media
D,62,37,26,87,212,D,D,0,Online
D,55,0,6,53,114,O,D,1,None
D,81,9,20,48,158,R,O,1,Print
D,72,79,16,58,225,D,D,0,Online
D,62,36,7,73,178,O,D,1,Television
D,88,67,-14,83,224,D,O,1,Social Media
D,83,73,30,59,245,D,R,1,Social Media
D,109,42,7,35,193,D,D,0,Television
D,58,40,46,59,203,D,D,0,Social Media
D,70,44,40,49,203,D,D,0,Television
D,79,54,14,36,183,D,D,0,Online
D,52,56,26,22,156,D,D,0,Television
D,74,0,39,67,180,D,D,0,None
D,66,41,14,65,186,D,D,0,Social Media
D,37,52,80,50,219,D,D,0,Social Media
D,74,37,31,36,178,O,R,1,None
D,69,45,18,45,177,D,D,0,Television
D,103,58,21,30,212,D,D,0,Social Media
D,68,37,19,39,163,O,D,1,Social Media
D,91,71,46,48,256,O,D,1,None
D,83,49,45,51,228,D,D,0,Social Media
D,55,8,23,49,135,D,O,1,Social Media
D,87,36,17,62,202,D,D,0,Television
D,78,51,32,4,165,O,O,0,Social Media
D,83,43,8,92,226,D,D,0,Print
D,93,13,21,87,214,D,D,0,Social Media
D,82,2,16,59,159,D,R,1,None
D,112,39,-8,22,165,D,D,0,Social Media
D,82,54,9,66,211,R,D,1,None
D,55,26,-2,3,82,D,R,1,Online
D,95,48,39,79,261,D,D,0,Print
D,56,52,-3,69,174,R,D,1,None
D,42,59,18,23,142,O,R,1,Social Media
D,64,52,1,64,181,D,D,0,Print
D,65,45,22,48,180,R,O,1,Online
D,68,9,11,53,141,R,D,1,Social Media
D,112,30,67,46,255,O,D,1,Online
D,113,57,13,55,238,D,D,0,Online
D,95,49,35,71,250,O,R,1,Online
D,55,22,28,34,139,D,R,1,Social Media
D,80,46,34,-11,149,D,O,1,Television
D,90,38,40,83,251,D,D,0,Social Media
D,77,65,10,9,161,D,O,1,Social Media
D,83,39,-3,59,178,D,D,0,Social Media
D,61,32,33,51,177,R,D,1,Social Media
D,54,35,1,57,147,R,R,0,Print
D,108,22,47,73,250,O,D,1,Television
D,85,66,-2,50,199,D,O,1,Online
D,72,43,-31,59,143,O,D,1,Social Media
D,87,28,-1,31,145,D,D,0,None
D,121,48,10,55,234,D,D,0,Online
D,87,57,58,48,250,D,D,0,Television
D,108,32,36,64,240,D,D,0,Social Media
D,107,34,51,65,257,R,D,1,None
D,72,39,-6,43,148,D,O,1,Social Media
D,95,0,42,25,162,O,R,1,Social Media
D,67,43,8,26,144,D,D,0,Social Media
D,51,41,37,33,162,D,D,0,Social Media
D,56,35,-19,55,127,O,D,1,Television
D,77,20,40,35,172,O,D,1,None
D,116,61,14,52,243,D,D,0,Television
D,82,31,16,74,203,D,D,0,Social Media
D,64,43,46,40,193,D,D,0,None
D,85,82,27,63,257,D,D,0,Online
D,94,28,22,46,190,O,D,1,Online
D,54,27,36,43,160,D,O,1,Social Media
D,59,43,2,41,145,D,D,0,Online
D,41,34,-7,51,119,D,D,0,Print
D,55,30,42,40,167,D,R,1,Social Media
D,62,48,48,71,229,D,D,0,None
D,74,45,30,49,198,D,D,0,Social Media
D,108,19,20,63,210,R,D,1,Online
D,98,12,48,82,240,O,D,1,Online
D,85,52,23,60,220,D,D,0,Social Media
D,69,23,28,19,139,D,D,0,Social Media
D,79,21,22,24,146,D,D,0,Social Media
D,91,65,35,42,233,O,D,1,Social Media
D,70,42,-3,68,177,R,D,1,Online
D,101,29,11,44,185,O,O,0,Social Media
D,102,55,16,44,217,D,D,0,Social Media
D,57,66,-12,59,170,O,D,1,Online
D,65,60,35,51,211,D,D,0,Social Media
D,104,20,24,50,198,O,D,1,Social Media
D,46,28,6,46,126,O,D,1,Social Media
D,88,46,27,72,233,O,D,1,Print
D,85,13,23,48,169,D,D,0,Online
D,144,32,6,57,239,R,D,1,Online
D,25,40,21,60,146,R,O,1,Social Media
D,63,39,5,56,163,D,D,0,Online
D,93,44,31,56,224,D,O,1,Online
D,113,44,-8,29,178,D,O,1,Social Media
D,97,58,23,96,274,D,D,0,Social Media
D,51,39,37,60,187,D,D,0,Social Media
D,125,23,24,25,197,O,D,1,Social Media
D,45,38,4,83,170,D,D,0,Online
D,58,36,-2,45,137,D,D,0,Online
D,79,41,-12,79,187,D,D,0,Television
D,125,70,29,69,293,D,D,0,None
D,90,51,24,44,209,D,D,0,None
D,95,76,21,51,243,D,D,0,Social Media
D,115,62,34,34,245,O,D,1,Online
D,100,76,-7,12,181,O,D,1,Social Media
D,56,13,31,32,132,R,D,1,Print
D,94,26,-6,51,165,D,D,0,None
D,78,29,14,43,164,D,R,1,Social Media
D,116,34,-22,65,193,D,D,0,Social Media
D,75,32,-12,44,139,D,D,0,None
D,49,49,6,27,131,D,D,0,Television
D,90,15,26,33,164,D,O,1,None
D,87,29,25,2,143,D,D,0,Print
D,80,29,39,67,215,O,D,1,Online
D,59,33,29,60,181,D,D,0,Online
D,63,28,29,55,175,D,D,0,Print
D,80,64,1,52,197,D,D,0,Social Media
D,101,55,-3,58,211,D,D,0,Social Media
D,73,45,8,37,163,O,O,0,Social Media
D,63,12,-16,23,82,O,D,1,Online
D,26,99,18,51,194,O,D,1,Online
D,90,59,15,40,204,D,D,0,None
D,89,65,10,59,223,O,D,1,Social Media
D,106,2,24,64,196,D,D,0,Print
D,109,36,-9,26,162,O,D,1,Print
D,77,55,-18,19,133,O,O,0,Social Media
D,106,48,31,75,260,O,D,1,Online
D,80,52,0,26,158,R,D,1,Online
D,66,52,2,27,147,D,R,1,Online
D,63,31,11,50,155,R,O,1,Social Media
D,73,35,5,23,136,R,D,1,None
D,85,21,45,57,208,D,R,1,Online
D,79,62,41,35,217,O,D,1,Social Media
D,84,1,21,77,183,D,O,1,Online
D,84,34,16,19,153,D,D,0,Television
D,94,56,8,65,223,D,D,0,Social Media
D,75,36,40,42,193,D,D,0,Print
D,113,69,25,92,299,O,R,1,Social Media
D,89,57,24,41,211,D,D,0,Print
D,56,23,-10,29,98,D,O,1,Television
D,74,39,38,38,189,O,D,1,Online
D,90,40,8,51,189,D,O,1,Television
D,72,45,27,46,190,D,O,1,Print
D,87,29,21,37,174,D,D,0,Social Media
D,89,28,46,48,211,R,D,1,Print
D,106,35,47,53,241,D,D,0,Online
D,67,58,46,1,172,D,D,0,Online
D,80,62,18,18,178,D,O,1,Social Media
D,69,28,18,17,132,O,R,1,None
D,57,41,22,66,186,R,O,1,Online
D,43,20,30,45,138,D,O,1,Online
D,84,25,19,46,174,O,D,1,None
D,92,28,-7,79,192,O,D,1,Social Media
D,93,14,2,28,137,O,D,1,Television
D,52,0,-2,93,143,D,D,0,Social Media
D,57,55,7,45,164,D,D,0,Social Media
D,57,48,46,21,172,D,O,1,Television
D,66,23,18,32,139,D,D,0,None
D,83,59,33,44,219,D,D,0,Social Media
D,92,76,18,61,247,O,D,1,Social Media
D,64,-11,39,45,137,O,D,1,None
D,23,63,-16,32,102,O,D,1,Social Media
D,99,65,11,28,203,D,D,0,Social Media
D,92,43,18,64,217,D,R,1,Online
D,66,30,28,48,172,D,D,0,Television
D,59,18,15,56,148,D,D,0,Social Media
D,74,22,16,47,159,D,R,1,Television
D,82,27,43,20,172,D,D,0,None
D,94,-2,32,70,194,D,D,0,Social Media
D,108,27,13,52,200,O,D,1,None
D,63,60,19,81,223,O,R,1,Online
D,86,25,34,85,230,D,O,1,Social Media
D,107,71,-12,53,219,D,R,1,None
D,62,39,37,45,183,D,D,0,Social Media
D,76,42,47,-1,164,R,D,1,Online
D,45,50,8,50,153,O,R,1,Print
D,86,21,21,47,175,O,D,1,Online
D,67,25,-11,79,160,R,D,1,Social Media
D,62,32,18,38,150,R,D,1,Television
D,64,75,25,72,236,D,D,0,None
D,89,49,5,36,179,D,O,1,Television
D,37,38,18,42,135,D,D,0,Social Media
D,71,18,1,56,146,D,R,1,Television
D,60,38,18,66,182,D,D,0,Television
D,61,48,15,47,171,D,D,0,Social Media
D,89,33,30,71,223,D,D,0,Social Media
D,87,22,35,82,226,O,D,1,Online
D,78,21,53,45,197,D,D,0,None
D,91,36,37,27,191,D,O,1,Social Media
D,68,47,12,48,175,R,O,1,Social Media
D,40,59,16,70,185,O,R,1,None
D,103,13,55,38,209,D,O,1,None
D,75,24,-4,51,146,D,D,0,Social Media
D,73,-1,18,62,152,R,D,1,Social Media
D,83,42,68,44,237,R,D,1,Social Media
D,95,54,12,36,197,D,D,0,Social Media
D,89,45,-4,46,176,O,D,1,Television
D,99,65,26,67,257,R,R,0,Online
D,81,52,-5,20,148,O,D,1,Online
D,70,28,-8,32,122,R,D,1,Online
D,74,69,16,35,194,D,O,1,None
D,96,49,-4,22,163,D,D,0,Social Media
D,63,52,11,36,162,D,D,0,Social Media
D,61,22,45,103,231,D,D,0,Television
D,86,35,59,25,205,D,D,0,Social Media
D,92,16,6,20,134,O,D,1,Online
D,46,39,11,27,123,D,D,0,None
D,96,67,25,40,228,D,D,0,Social Media
D,80,31,-1,22,132,R,D,1,Social Media
D,76,41,20,67,204,D,D,0,Television
D,102,56,-1,47,204,D,D,0,Television
D,110,8,4,19,141,O,D,1,Television
D,57,13,18,36,124,O,D,1,None
D,100,21,18,45,184,D,D,0,Social Media
D,67,46,36,52,201,D,D,0,Social Media
D,83,42,12,71,208,D,D,0,Social Media
D,90,65,31,46,232,D,D,0,Print
D,83,15,-14,18,102,D,D,0,Social Media
D,51,31,25,59,166,D,O,1,Social Media
D,70,-2,37,39,144,O,D,1,Online
D,111,72,19,28,230,D,O,1,Online
D,83,62,17,73,235,D,D,0,Social Media
D,63,27,12,29,131,D,D,0,Online
D,67,35,23,73,198,D,D,0,Online
D,101,37,37,47,222,D,D,0,Social Media
D,87,76,39,69,271,D,D,0,Print
D,62,41,25,65,193,D,D,0,Online
D,80,48,10,46,184,O,D,1,Print
D,92,54,55,90,291,D,D,0,Print
D,114,54,40,61,269,D,O,1,Social Media
D,62,7,2,37,108,D,D,0,Social Media
D,72,55,24,46,197,D,D,0,Online
D,100,22,-13,46,155,D,D,0,Social Media
D,71,39,-13,77,174,D,D,0,Online
D,109,1,4,76,190,D,D,0,Social Media
D,101,44,21,81,247,D,D,0,Social Media
D,47,20,9,89,165,D,D,0,Social Media
D,88,-4,45,56,185,D,D,0,Online
D,52,7,62,52,173,D,D,0,Social Media
D,51,12,38,71,172,D,D,0,Social Media
